hipparchiaDB=# \o recorded_dates.txt
hipparchiaDB=# SELECT DISTINCT converted_date, recorded_date FROM works ORDER BY recorded_date ASC;

9999 = 'parser remains unable to handle this input'
 
 converted_date |                          recorded_date                           
----------------+------------------------------------------------------------------
           -117 | -118／117 BC
           -118 | -119／118 BC
           -152 | -153／152 BC
           -210 | -210 BC
           -223 | -224／223 BC
           -225 | -226／225 BC
           -238 | -238 BC
           -246 | -246 BC
           -247 | -248／247 BC
           -250 | -250 BC
           -252 | -252 BC
            127 | -AD 127
            193 | -AD 193／AD 211-
            216 | -AD 216
            496 | -AD 496
            250 | -III spc
            400 | -IV／V spc
            265 | -cAD 265-6
            542 | -cAD 542
            494 | 0-989 ac
             -1 | 1 BC
              1 | 1 BC-AD 1
              1 | 1 BC-AD 1-
              1 | 1 BC／AD 1
              1 | 1 ac
             -1 | 1 bc
             50 | 1-100 ac
              9 | 1-17 ac
             10 | 1-20 ac
            100 | 1-200 ac
             13 | 1-25 ac
             13 | 1-25p
             13 | 1-25p﹖
             23 | 1-46 ac
             25 | 1-50
             25 | 1-50 ac
             25 | 1-50 ac﹖
             25 | 1-50p
            425 | 1. H. 5. Jhdt. n.Chr.
           -575 | 1. H. 5. Jhdt. v.Chr.﹖
              1 | 1. Hälfte 2. Jh. v.Chr.
              1 | 1. Hälfte 4. Jh. v.Chr.
              1 | 1. Hälfte 4.Jh. v.Chr.
             50 | 1. Jh.n.Chr.
           -150 | 1. Jh.v.Chr.
             50 | 1. Jhdt. n.Chr.﹖
           -175 | 1. Viertel 1. Jh. v.Chr.
           -375 | 1. Viertel 3. Jh. v.Chr.
           -475 | 1. Viertel 4. Jh. v.Chr.
            150 | 1.-2. Jh. n.Chr.
            150 | 1.-2.Jh.n.Chr.
            150 | 1.-2.Jh.n.Chr.﹖
            200 | 1.-3.Jh.n.Chr.
           -175 | 1.Drittel 1.Jh.v.Chr.
             25 | 1.Halfte 1.Jh.n.Chr.
            425 | 1.Halfte 5.Jh.n.Chr.
            425 | 1.Halfte 5.Jh.n.Chr.﹖
             25 | 1.Hälfte 1.Jh.n.Chr.
           -175 | 1.Hälfte 1.Jh.v.Chr.
           1025 | 1.Hälfte 11.Jh.n.Chr.
           1125 | 1.Hälfte 12.Jh.n.Chr.
            125 | 1.Hälfte 2.Jh.n.Chr.
           -275 | 1.Hälfte 2.Jh.v.Chr.
           -275 | 1.Hälfte 2.Jh.v.Chr.﹖
            225 | 1.Hälfte 3.Jh.n.Chr.
           -375 | 1.Hälfte 3.Jh.v.Chr.
           -475 | 1.Hälfte 4.Jh.v.Chr.
            725 | 1.Hälfte 8.Jh.n.Chr.
            825 | 1.Hälfte 9.Jh.n.Chr.
              1 | 1.Jh,n.Chr.
             50 | 1.Jh.n.Chr.
             50 | 1.Jh.n.Chr.﹖
           -150 | 1.Jh.v.Chr.
              1 | 1.Jh.v.Chr. oder später
           9999 | 1.Jh.v.Chr.-1.Jh.n.Chr.
           -150 | 1.Jh.v.Chr.﹖
             25 | 1.Viertel 1.Jh.n.Chr.
           -375 | 1.Viertel 3.Jh.v.Chr.
           -575 | 1.Viertel 5.Jh.v.Chr.
           -575 | 1.Viertel 5.Jh.v.Chr.﹖
           -675 | 1.Viertel 6.Jh.v.Chr.
            150 | 1.／2. Jh. n.Chr.
            150 | 1.／2. Jh.n.Chr.
            150 | 1.／2.Jh. n.Chr
            150 | 1.／2.Jh.n.Chr.
            150 | 1.／2.Jh.n.Chr.﹖
              1 | 1.／2.n.Chr.
            -10 | 10 BC
            -10 | 10 BC﹖
             10 | 10 BC／AD 34﹖
             10 | 10 ac
            -10 | 10 bc
             10 | 10 bc-138 ac
           1050 | 10-11th ac
           1050 | 10-11th ac﹖
           1150 | 10-12th ac﹖
             11 | 10-12﹖ ac
             21 | 10-33 ac
             24 | 10-39p
             42 | 10-74 ac
            -14 | 10-9 BC
             10 | 10-c 39p
           1050 | 10.-11.Jh.n.Chr.
            950 | 10.Jh.n.Chr.
           1050 | 10.／11.Jh.n.Chr.
             10 | 10.／11.n.Chr.
            100 | 100 AD
           -100 | 100 BC
           -100 | 100 BC﹖
           -100 | 100 bc
            100 | 100 bc-100 ac
            100 | 100 bc-100 ac﹖
            100 | 100 or 101 ac
           -100 | 100 v.Chr.
           -100 | 100-1 bc
           -100 | 100-1 bc﹖
            101 | 100-102p
            103 | 100-107p
            105 | 100-110 ac
            112 | 100-125 ac
            112 | 100-125 ac﹖
            115 | 100-130 or c.104／5 ac
            125 | 100-150
            125 | 100-150 ac
            125 | 100-150 or c.150 ac
            125 | 100-150,200-210
            125 | 100-150p
            150 | 100-200 ac
            150 | 100-200 ac﹖
            150 | 100-200／250 ac
            175 | 100-250 ac
            125 | 100-50 ac
           -125 | 100-50 bc
           -125 | 100-50a
           -135 | 100-70 bc
           -135 | 100-70a
            137 | 100-75
           -137 | 100-75 bc
           -140 | 100-80a
           -142 | 100-84a
            149 | 100-98
           1000 | 1000 ac
           1012 | 1000-1025 ac
           1025 | 1000-1050 ac
           1087 | 1000-1175 ac
           1001 | 1001 ac
           1011 | 1001-1022 ac
           1014 | 1001-1027 ac
           1002 | 1002 ac
           1008 | 1002-1014 ac
           1013 | 1002-1024 ac
           1017 | 1002-1032 ac
           1003 | 1003 ac
           1004 | 1004 ac
           1005 | 1005 ac
           1005 | 1005 ac﹖
           1005 | 1005／6 ac
           1006 | 1006 ac
           1006 | 1006 or 1021﹖
           1006 | 1006／7 ac
           1007 | 1007 ac
           1009 | 1007-1012 ac
           1008 | 1008 ac
           1009 | 1009 ac
           1027 | 1009-1046 ac﹖
            100 | 100p
            100 | 100／1 ac
            100 | 100／101 ac
            149 | 100／99
           -149 | 100／99 BC
           -149 | 100／99 BC﹖
           -101 | 101 BC
            101 | 101 ac
           -101 | 101 bc
           -100 | 101-100 bc
            105 | 101-109p
            119 | 101-137p
           -144 | 101-88 bc
            150 | 101-99
           1010 | 1010 ac
           1010 | 1010﹖ ac
           1011 | 1011 ac
           1011 | 1011／1012 ac
           1012 | 1012 ac
           1012 | 1012 or 1017 ac
           1012 | 1012 ⟦o.s.⟧ ac
           1016 | 1012／1021-c.1050 ac
           1013 | 1013 ac
           1014 | 1014 ac
           1017 | 1014-1020／1024 ac
           1015 | 1015 ac
           1018 | 1015-1022／1033 ac
           1022 | 1015-1030 ac
           1031 | 1016-1047 ac﹖
           1017 | 1017 ac
           1018 | 1018 ac
           1018 | 1018 n.Chr.﹖
           1019 | 1019 ac
           1019 | 1019-1020 ac
            101 | 101p
            101 | 101p﹖
            100 | 101／0
           -100 | 101／0-60／59 bc
           -100 | 101／0-94／3 bc
            100 | 101／100
           -100 | 101／100 BC
           -100 | 101／100 bc
            101 | 101／102p
           -102 | 102 BC
            102 | 102 ac
            102 | 102,107,110 ac
            103 | 102-105p﹖
            108 | 102-114 ac
            108 | 102-114p
            108 | 102-115 ac
            109 | 102-116 ac
           -109 | 102-116 bc
            109 | 102-116p
            109 | 102-117 ac
            109 | 102-117p
            109 | 102-117p﹖
            149 | 102-96
            149 | 102-97
           1020 | 1020 ac
           1021 | 1021 ac
           1026 | 1021-1031 ac
           1028 | 1021-1036 ac
           1022 | 1022 ac
           1026 | 1022-1031 ac
           1030 | 1022-1038 ac
           1023 | 1023 ac
           1023 | 1023／24 ac
           1024 | 1024 ac
           1028 | 1024-1032 ac
           1024 | 1024﹖ ac
           1025 | 1025 ac
           1034 | 1025-1044 ac
           1026 | 1026 ac
           1032 | 1026-1039 ac
           1027 | 1027 ac
           1028 | 1028 ac
           1031 | 1028-1034 ac
           1031 | 1028-1034 ac﹖
           1031 | 1028-1034 ac﹢
           1028 | 1028-c.1150 ac
            102 | 102a-16p
            102 | 102p
           -102 | 102﹖ bc
            101 | 102／1
           -101 | 102／1 bc
            101 | 102／1-95／4
           -101 | 102／101 BC
           -101 | 102／101 bc
            102 | 102／103p
            101 | 102／⟨1⟩
           -103 | 103 BC
            103 | 103 ac
           -102 | 103-101 BC
           -102 | 103-102 BC
            105 | 103-107 ac
            108 | 103-113 ac
            108 | 103-113p
            108 | 103-114p
            109 | 103-116
            109 | 103-116 ac
            110 | 103-117 ac
            110 | 103-117p
            152 | 103-202p
           1030 | 1030 ac
           1030 | 1030-1031 ac
           1035 | 1030-1040 ac
           1031 | 1031 ac
           1032 | 1032 ac
           1032 | 1032-1033 ac
           1032 | 1032／3 ac
           1033 | 1033 ac
           1034 | 1033-1035 ac
           1036 | 1033-1039 ac
           1034 | 1034 ac
           1040 | 1034-1046 ac
